quote.string(),author.string(),tags.string()
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"attributed-no-source, best, life, love, mistakes, out-of-control, truth, worst"
"You know you're in love when you can't fall asleep because reality is finally better than your dreams.",Dr. Seuss,"attributed-no-source, dreams, love, reality, sleep"
"A friend is someone who knows all about you and still loves you.",Elbert Hubbard,"friend, friendship, knowledge, love"
"Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.","Martin Luther King Jr.","darkness, drive-out, hate, inspirational, light, love, peace"
"We accept the love we think we deserve.",Stephen Chbosky,"inspirational, love"
"It is better to be hated for what you are than to be loved for what you are not.",André Gide,"life, love"
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,love
"Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.",Neil Gaiman,love
"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.",Lao Tzu,"courage, deeply-loved, love, strength, widely-misattributed"
"There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.",Sarah Dessen,love
"Love is that condition in which the happiness of another person is essential to your own.",Robert A. Heinlein,"essential, happiness, love"
"You love me. Real or not real? I tell him, 'Real.'",Suzanne Collins,"katniss, love, peeta, suzanne-collins, the-hunger-games"
"A lack of planning leads to failure.",Sunday Adelaja,"failure, lack"
"If you are not planning for success, then you are planning for failure.",Sunday Adelaja,"failure, success"
"The reason why a person does not have success can be found inside him. It is his worldview, conscience, and perception of life",Sunday Adelaja,failure
"It is better to admit your failure than to live in self deception.",Sunday Adelaja,failure
"What I'm getting at here is that you can be entrepreneurial without being an entrepreneur. Entrepreneurial people are passionate about what they do, comfortable taking risks, and quick at moving on from failures.",Sophia Amoruso,"entrepreneurial, failure, risk-taking, success"
"Don't fear failure, fear inaction.",Debasish Mridha,"debasish, debasish-mridha, failure, fear, fear-failure, fear-inaction, mridha, philosophy"
"For every setback, do not get discouraged. Rejoice because you learned more than you expected.",Debasish Mridha,"debasish, debasish-mridha, discouraged, failure, learned-more-than-you-expected, mridha, philosophy, rejoice, setback"
"Don't ever shelter the feeling of discouragement in your mind, because it only comes to distract one from one's true abilities in life.",Debasish Mridha,"ability, disappointment, discourage, discouragement, discouraging, don-t-get-discouraged, edmond-mbiaka, failure, failures, mistake, mistakes, one-s-true-abilities-in-life, the-feeling-of-discouragement"
"It is not the success but the failures that glorify success.",Debasish Mridha,"debasish, debasish-mridha, failure, glorify-success, mridha, philosophy, success"
"Often what we struggle with becomes the foundation of our greatest success.","James Woosley","failure, struggle, success"
"Le gras, c'est la vie","Karadoc","bouffe, gras, manger, kaamelott"
"Why are old lovers able to become friends? Two reasons. They never truly loved each other, or they love each other still.","Whitney Otto","exes, friendship, love"
"and he suddenly knew that if she killed herself, he would die. Maybe not immediately, maybe not with the same blinding rush of pain, but it would happen. You couldn't live for very long without a heart.",Jodi Picoult,"death, heart, love, mourning, suicide"
"She wanted something else, something different, something more. Passion and romance, perhaps, or maybe quiet conversations in candlelit rooms, or perhaps something as simple as not being second.","Nicholas Sparks","love, passion, romance"
"Moments, when lost, can't be found again. They're just gone.","Jenny Han","bellys, love, missed-chances, romance"
"here she is, all mine, trying her best to give me all she can. How could I ever hurt her? But I didnt understand then. That I could hurt somebody so badly she would never recover. That a person can, just by living, damage another human being beyond repair.","Haruki Murakami","hurt, love"
"I like not only to be loved, but also to be told that I am loved. I am not sure that you are of the same mind. But the realm of silence is large enough beyond the grave. This is the world of light and speech, and I shall take leave to tell you that you are very dear.","George Eliot",love
"What are the chances youâ€™d ever meet someone like that? he wondered. Someone you could love forever, someone who would forever love you back? And what did you do when that person was born half a world away? The math seemed impossible.","Rainbow Rowell, Eleanor & Park","love, soulmate"
"I wonder if fears ever really go away, or if they just lose their power over us.","Veronica Roth","fear, love, power, powerful",
"In desperate love, we always invent the characters of our partners, demanding they be what we need of them, and then feeling devastated when they refuse to perform the role we created in the first place.","Elizabeth Gilbert",love
"Trust no friend without faults, and love a woman, but no angel.",Doris Lessing,"friendship, love, trust"
"There is always something left to love.","Gabriel Garci­a Marquez",love
"We must love one another or die","W.H. Auden",love
"You say you love rain, but you use an umbrella to walk under it. You say you love sun, but you seek shelter when it is shining. You say you love wind, but when it comes you close your windows. So that's why I'm scared when you say you love me.",Bob Marley,"bob-marley, famous, love, marely"
"If a thing loves, it is infinite.",William Blake,love
"I'm lonely. Why do you think I had to learn to act so independent? I also get mad too quickly, and I hog the covers, and my second toe is longer than my big one. My hair has it's own zip code. Plus, I get certifiably crazy when I've got PMS. You don't love someone because they're perfect. You love them in spite of the fact that they're not.","Jodi Picoult",love
"Love is a better master than duty.",Albert Einstein,love
"Mama, Mama, help me get homeI'm out in the woods, I am out on my own.I found me a werewolf, a nasty old muttIt showed me its teeth and went straight for my gut.Mama, Mama, help me get homeI'm out in the woods, I am out on my own.I was stopped by a vampire, a rotting old wreckIt showed me its teeth and went straight for my neck.Mama, Mama, put me to bedI won't make it home, I'm already half-dead.I met an Invalid, and fell for his artHe showed me his smile, and went straight for my heart.","Lauren Oliver","love, vampire, werewolf"
"It doesn't matter who you are or what you look like, so long as somebody loves you.","Roald Dahl",love
"You are like nobody since I love you.",Pablo Neruda,love
"After all this time? Always...","J.K. Rowling",love
"There is nothing more truly artistic than to love people.",Vincent van Gogh,"art, love"
"In love, no question is ever preposterous.","Andrea Brink",love
"Love, n. A temporary insanity curable by marriage.","Ambrose Bierce","insanity, love, marriage"
"i like my body when it is with yourbody. It is so quite new a thing.Muscles better and nerves more.i like your body. i like what it does,i like its hows. i like to feel the spineof your body and its bones, and the trembling-firm-smooth ness and which i willagain and again and againkiss, i like kissing this and that of you,i like, slowly stroking the, shocking fuzzof your electric fur, and what-is-it comesover parting flesh ... And eyes big love-crumbs,and possibly i like the thrillof under me you so quite new.","E.E. Cummings","love, poetry"
"No woman wants to be in submission to a man who isn't in submission to God!",T.D. Jakes,"christian, god, love, marriage, men, religion, spirituality, women"
"I love mankind, he said, but I find to my amazement that the more I love mankind as a whole, the less I love man in particular.","Fyodor Dostoyevsky","humanity, individuals, love, mankind"
"You only need one man to love you. But him to love you free like a wildfire, crazy like the moon, always like tomorrow, sudden like an inhale and overcoming like the tides. Only one man and all of this.",C. JoyBell C.,"inspirational, inspirational-love, inspiring, love, men, passion, real-love, the-love-of-a-man, true-love"
"Moi, à une époque, je voulais faire vœu de pauvreté... Mais avec le pognon que j'rentrais, j'arrivais pas à concilier les deux.","Seigneur Galessin","kaamelott"
"Faut arrêter ces conneries de nord et de sud ! Une fois pour toutes, le nord, suivant comment on est tourné, ça change tout !","Perceval","kaamelott"
"Faut pas respirer la compote, ça fait tousser.","Kadoc","kaamelott"
"Alors c'est ça, la stratégie moderne? Réunir cinq trous-de-balle en cercle et s'balancer des fions?","Goustan","kaamelott"
"Moi j’ai appris à lire, ben je souhaite ça à personne.","Léodagan","kaamelott"
"Une fois j’ai pissé par la fenêtre !","Guenièvre","kaamelott"
"Des p'tits croutons tout vieux genre pour les lapins ? Ouais j'savais pas c'que c'était, dans le doute j'les ai bouffés","Karadoc","kaamelott"
"Ah, le printemps ! La nature se réveille, les oiseaux reviennent, on crame des mecs.","Le roi Arthur","kaamelott"
"Et à un moment... le sorcier s’est mis à nous menacer avec ses parties génitales.","Gauvain","kaamelott"
"Après demain, à partir d'aujourd'hui ?","Perceval","kaamelott"
"Les framboises sont perchées sur le tabouret de mon grand-père.","Perceval","kaamelott"
"À ROULEEEEETTES !! HOULA... J'l'ai un peu trop gueulé ça, non ? À roulettes.","Perceval","kaamelott"
"PAYS DE GALLES INDÉPENDANT !","Perceval","kaamelott"
"Le code c'est 'le code' ? Ça va, ils se sont pas trop cassé le bonnet, pour l'trouver celui-là !","Perceval","kaamelott"
"Sloubi 1, sloubi 2, sloubi 3, sloubi 4, sloubi 5 [...] sloubi 324, sloubi 325!...","Perceval","kaamelott"
"Dans le Languedoc, ils m'appellent Provençal. Mais c'est moi qui m'suis gouré en disant mon nom. Sinon, en Bretagne, c'est le Gros Faisan au sud, et au nord, c'est juste Ducon .","Perceval","kaamelott"
"Faut faire comme avec les scorpions qui se suicident quand ils sont entourés par le feu, faut faire un feu en forme de cercle, autour d’eux, comme ça ils se suicident, pendant que nous on fait le tour et on lance de la caillasse de l’autre côté pour brouiller... Non ?","Perceval","kaamelott"
"C’est pas faux.","Perceval","kaamelott"
"Ça sert à rien, un siège, si elle est enceinte, il faut des linges blancs et une bassine d'eau chaude.","Perceval","kaamelott"
"Sans vouloir la ramener, la seule différence concrète avec des briques, c'est que vous appelez ça des tartes !","Léodagan","kaamelott"
"Ah bah c'est sûr qu'c'est pas Jo l'Rigolo.","Léodagan","kaamelott"
"J'pense pas que deux trous-du-cul soient plus efficaces qu’un seul !","Léodagan","kaamelott"
"Ma parole, des engins comme vous, ça devrait être fourni avec une notice !","Léodagan","kaamelott"
"Ooooooooh, non mais faire du labyrinthe avec un trou-de-balle pareil, faut drôlement de la vaillance, hein !","Léodagan","kaamelott"
"Euh... C'est moi ou y a une ambiance de merde ?","Léodagan","kaamelott"
"Quoi, j'y vais ? Je l'avoine ?","Léodagan","kaamelott"
"Ave Cesar, rosae rosam, et spiritus rex ! Ah non, parce que là, j’en ai marre !","Le roi Loth","kaamelott"
"Tempora mori, tempora mundis recorda. Voilà. Eh bien ça, par exemple, ça veut absolument rien dire, mais l’effet reste le même, et pourtant j’ai jamais foutu les pieds dans une salle de classe attention !","Le roi Loth","kaamelott"
"Victoriae mundis et mundis lacrima. Bon, ça ne veut absolument rien dire, mais je trouve que c’est assez dans le ton.","Le roi Loth","kaamelott"
"Quand on veut être sûr de son coup, Seigneur Dagonet… on plante des navets. On ne pratique pas le putsch.","Le roi Loth","kaamelott"
"Vous entendez ça ? Il parait que je suis malpoli ! Qu'est-ce que vous en pensez bande de trous-du-cul ?","Le roi Loth","kaamelott"
"Bon. Ca c'est bien gentil mais… À quel moment on trahit ?","Le roi Loth","kaamelott"
"Pour savoir s’y a du vent, il faut mettre son doigt dans le cul du coq.","Kadoc","kaamelott"
"On met du beurre dans le fond du plat pour pas que le gratin colle.","Kadoc","kaamelott"
"Y'a des méchants ?","Kadoc","kaamelott"
"Tatan, elle fait des flans.","Kadoc","kaamelott"
"Les pattes de canaaaaaaaaaaaaaaaaaaaaaaaaaaaaard !","Kadoc","kaamelott"
"Elle est où la poulette ?","Kadoc","kaamelott"
"Mooordu! Mooordu! Mordu mordu mordu mordu la ligne !!!!","Kadoc","kaamelott"
"Le caca des pigeons c'est caca, faut pas manger.","Kadoc","kaamelott"
"Dans trois jours, ma tata elle m’emmène à la mer pour me noyer.","Kadoc","kaamelott, meurtre"
"Ça suffit ! Elle est où la poulette ? Elle est bien cachée ?","Kadoc","kaamelott"
"Vous rendez la poulette ou c'est tout nus dans les orties !","Kadoc","kaamelott"
"Il faut pas respirer la compote, ça fait tousser.","Kadoc","kaamelott"
"Faut pas confondre poubelle et fonction.","Néré T'Chren","rrh"
"Il est important de trouver la bonne taille de saucisson.","Néré T'Chren","rrh"
"Il devrait y avoir une armée de bras qui se lèvent pour me bombarder d'insultes.","Néré T'Chren","rrh"
"Le dernier calendrier en date… C’est un jeu de mots.","Néré T'Chren","rrh"
"Il faut pas mélanger les serviettes et les torchons comme disait l’autre.","Néré T'Chren","rrh"
"Tout va bien dans le meilleur des mondes comme disait Voltaire.","Néré T'Chren","rrh"
"Je peux dormir sur mes deux oreilles en écrivant ceci.","Néré T'Chren","rrh"
"Là on coupe les cheveux en quatre.","Néré T'Chren","rrh"
"La mémoire, enfin pas la mienne, mais celle de l’ordinateur.","Néré T'Chren","rrh"